Cell Name	Cluster number	cluster_label	sample_detail	sample	cell_id	CD8_cluster	patient	response
C7_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	C7_P6_M11	CD8_G	P1	R
C8_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	C8_P5_M11	CD8_B	P1	R
C9_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	C9_P1_M11	CD8_G	P1	R
C9_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	C9_P4_M11	CD8_G	P1	R
D10_P1_M11	8	Cytotoxicity	Pre_P1	Pre_P1	D10_P1_M11	CD8_G	P1	R
D10_P6_M11	8	Cytotoxicity	Pre_P1	Pre_P1	D10_P6_M11	CD8_G	P1	R
D11_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	D11_P6_M11	CD8_G	P1	R
D12_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D12_P6_M11	CD8_B	P1	R
D1_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	D1_P1_M11	CD8_G	P1	R
D1_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D1_P4_M11	CD8_B	P1	R
D2_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D2_P4_M11	CD8_G	P1	R
D2_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	D2_P6_M11	CD8_G	P1	R
D3_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	D3_P1_M11	CD8_G	P1	R
D3_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	D3_P6_M11	CD8_G	P1	R
D4_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D4_P1_M11	CD8_G	P1	R
D4_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D4_P3_M11	CD8_B	P1	R
D4_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	D4_P4_M11	CD8_G	P1	R
D4_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	D4_P6_M11	CD8_G	P1	R
D5_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	D5_P4_M11	CD8_G	P1	R
D6_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D6_P1_M11	CD8_G	P1	R
D6_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	D6_P3_M11	CD8_G	P1	R
D6_P5_M11	11	Lymphocytes_cell_cycle	Pre_P1	Pre_P1	D6_P5_M11	CD8_B	P1	R
D6_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	D6_P6_M11	CD8_G	P1	R
D7_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D7_P3_M11	CD8_B	P1	R
D7_P5_M11	5	Lymphocytes	Pre_P1	Pre_P1	D7_P5_M11	CD8_G	P1	R
D9_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D9_P3_M11	CD8_G	P1	R
D9_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	D9_P5_M11	CD8_B	P1	R
E10_P2_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	E10_P2_M11	CD8_G	P1	R
E12_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	E12_P6_M11	CD8_G	P1	R
E4_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	E4_P3_M11	CD8_G	P1	R
E6_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	E6_P1_M11	CD8_G	P1	R
E7_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	E7_P1_M11	CD8_G	P1	R
E7_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	E7_P5_M11	CD8_G	P1	R
E8_P2_M11	5	Lymphocytes	Pre_P1	Pre_P1	E8_P2_M11	CD8_G	P1	R
E8_P5_M11	5	Lymphocytes	Pre_P1	Pre_P1	E8_P5_M11	CD8_G	P1	R
E9_P5_M11	5	Lymphocytes	Pre_P1	Pre_P1	E9_P5_M11	CD8_G	P1	R
F10_P2_M11	5	Lymphocytes	Pre_P1	Pre_P1	F10_P2_M11	CD8_G	P1	R
F10_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	F10_P3_M11	CD8_G	P1	R
F10_P4_M11	8	Cytotoxicity	Pre_P1	Pre_P1	F10_P4_M11	CD8_G	P1	R
F10_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	F10_P6_M11	CD8_G	P1	R
F11_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	F11_P6_M11	CD8_B	P1	R
F12_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	F12_P6_M11	CD8_G	P1	R
F2_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	F2_P1_M11	CD8_G	P1	R
F3_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	F3_P1_M11	CD8_B	P1	R
F4_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	F4_P3_M11	CD8_G	P1	R
F4_P5_M11	5	Lymphocytes	Pre_P1	Pre_P1	F4_P5_M11	CD8_G	P1	R
F5_P1_M11	11	Lymphocytes_cell_cycle	Pre_P1	Pre_P1	F5_P1_M11	CD8_B	P1	R
F5_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	F5_P5_M11	CD8_G	P1	R
F6_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	F6_P4_M11	CD8_B	P1	R
F6_P5_M11	5	Lymphocytes	Pre_P1	Pre_P1	F6_P5_M11	CD8_G	P1	R
F7_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	F7_P1_M11	CD8_G	P1	R
F7_P2_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	F7_P2_M11	CD8_G	P1	R
F8_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	F8_P5_M11	CD8_B	P1	R
F9_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	F9_P1_M11	CD8_G	P1	R
F9_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	F9_P4_M11	CD8_G	P1	R
F9_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	F9_P6_M11	CD8_B	P1	R
G10_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	G10_P3_M11	CD8_G	P1	R
G10_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	G10_P6_M11	CD8_G	P1	R
G12_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G12_P4_M11	CD8_G	P1	R
G12_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G12_P5_M11	CD8_B	P1	R
G12_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	G12_P6_M11	CD8_G	P1	R
G1_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	G1_P1_M11	CD8_G	P1	R
G1_P2_M11	5	Lymphocytes	Pre_P1	Pre_P1	G1_P2_M11	CD8_G	P1	R
G1_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G1_P4_M11	CD8_G	P1	R
G2_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	G2_P3_M11	CD8_G	P1	R
G2_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	G2_P6_M11	CD8_G	P1	R
G3_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G3_P3_M11	CD8_G	P1	R
G3_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G3_P4_M11	CD8_B	P1	R
G3_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G3_P6_M11	CD8_G	P1	R
G4_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	G4_P4_M11	CD8_G	P1	R
G4_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G4_P6_M11	CD8_B	P1	R
G5_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G5_P4_M11	CD8_G	P1	R
G6_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	G6_P1_M11	CD8_G	P1	R
G6_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G6_P3_M11	CD8_G	P1	R
G6_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	G6_P4_M11	CD8_G	P1	R
G6_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	G6_P6_M11	CD8_G	P1	R
G7_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	G7_P4_M11	CD8_G	P1	R
G9_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	G9_P1_M11	CD8_G	P1	R
H2_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	H2_P4_M11	CD8_G	P1	R
H3_P1_M11	5	Lymphocytes	Pre_P1	Pre_P1	H3_P1_M11	CD8_G	P1	R
H3_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	H3_P4_M11	CD8_G	P1	R
H3_P5_M11	5	Lymphocytes	Pre_P1	Pre_P1	H3_P5_M11	CD8_G	P1	R
H3_P6_M11	5	Lymphocytes	Pre_P1	Pre_P1	H3_P6_M11	CD8_G	P1	R
H4_P2_M11	5	Lymphocytes	Pre_P1	Pre_P1	H4_P2_M11	CD8_G	P1	R
H6_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	H6_P3_M11	CD8_B	P1	R
H6_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	H6_P4_M11	CD8_G	P1	R
H7_P3_M11	5	Lymphocytes	Pre_P1	Pre_P1	H7_P3_M11	CD8_G	P1	R
H7_P4_M11	5	Lymphocytes	Pre_P1	Pre_P1	H7_P4_M11	CD8_G	P1	R
H8_P1_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	H8_P1_M11	CD8_G	P1	R
H8_P5_M11	5	Lymphocytes	Pre_P1	Pre_P1	H8_P5_M11	CD8_G	P1	R
H9_P1_M11	8	Cytotoxicity	Pre_P1	Pre_P1	H9_P1_M11	CD8_G	P1	R
H9_P3_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	H9_P3_M11	CD8_G	P1	R
H9_P4_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	H9_P4_M11	CD8_G	P1	R
H9_P5_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	H9_P5_M11	CD8_G	P1	R
H9_P6_M11	9	Exhausted_HS_CD8T	Pre_P1	Pre_P1	H9_P6_M11	CD8_B	P1	R
A10_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	A10_P1_M15	CD8_B	P1	R
A11_P5_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	A11_P5_M15	CD8_B	P1	R
A12_P1_M15	6	Exhausted_CD8T	Post_P1	Post_P1	A12_P1_M15	CD8_B	P1	R
A2_P1_M15	5	Lymphocytes	Post_P1	Post_P1	A2_P1_M15	CD8_G	P1	R
A3_P2_M15	6	Exhausted_CD8T	Post_P1	Post_P1	A3_P2_M15	CD8_B	P1	R
A3_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	A3_P6_M15	CD8_G	P1	R
A4_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	A4_P1_M15	CD8_G	P1	R
A4_P3_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	A4_P3_M15	CD8_G	P1	R
A4_P6_M15	5	Lymphocytes	Post_P1	Post_P1	A4_P6_M15	CD8_G	P1	R
A5_P1_M15	5	Lymphocytes	Post_P1	Post_P1	A5_P1_M15	CD8_G	P1	R
A5_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	A5_P5_M15	CD8_G	P1	R
A6_P1_M15	8	Cytotoxicity	Post_P1	Post_P1	A6_P1_M15	CD8_G	P1	R
A8_P2_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	A8_P2_M15	CD8_B	P1	R
A9_P1_M15	10	memory_T	Post_P1	Post_P1	A9_P1_M15	CD8_G	P1	R
B10_P4_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B10_P4_M15	CD8_G	P1	R
B11_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B11_P2_M15	CD8_B	P1	R
B11_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B11_P6_M15	CD8_G	P1	R
B1_P1_M15	5	Lymphocytes	Post_P1	Post_P1	B1_P1_M15	CD8_G	P1	R
B1_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B1_P2_M15	CD8_B	P1	R
B1_P4_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B1_P4_M15	CD8_B	P1	R
B2_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B2_P2_M15	CD8_B	P1	R
B2_P6_M15	8	Cytotoxicity	Post_P1	Post_P1	B2_P6_M15	CD8_G	P1	R
B3_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B3_P1_M15	CD8_B	P1	R
B4_P3_M15	5	Lymphocytes	Post_P1	Post_P1	B4_P3_M15	CD8_G	P1	R
B5_P5_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	B5_P5_M15	CD8_B	P1	R
B6_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B6_P1_M15	CD8_G	P1	R
B7_P1_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	B7_P1_M15	CD8_B	P1	R
B9_P2_M15	5	Lymphocytes	Post_P1	Post_P1	B9_P2_M15	CD8_G	P1	R
B9_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	B9_P6_M15	CD8_G	P1	R
C11_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C11_P5_M15	CD8_G	P1	R
C12_P2_M15	8	Cytotoxicity	Post_P1	Post_P1	C12_P2_M15	CD8_G	P1	R
C12_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C12_P5_M15	CD8_G	P1	R
C12_P6_M15	5	Lymphocytes	Post_P1	Post_P1	C12_P6_M15	CD8_G	P1	R
C1_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C1_P1_M15	CD8_G	P1	R
C2_P1_M15	5	Lymphocytes	Post_P1	Post_P1	C2_P1_M15	CD8_G	P1	R
C2_P2_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	C2_P2_M15	CD8_B	P1	R
C2_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C2_P6_M15	CD8_G	P1	R
C3_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C3_P2_M15	CD8_G	P1	R
C4_P2_M15	5	Lymphocytes	Post_P1	Post_P1	C4_P2_M15	CD8_G	P1	R
C4_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C4_P6_M15	CD8_B	P1	R
C5_P6_M15	6	Exhausted_CD8T	Post_P1	Post_P1	C5_P6_M15	CD8_B	P1	R
C6_P2_M15	6	Exhausted_CD8T	Post_P1	Post_P1	C6_P2_M15	CD8_B	P1	R
C6_P5_M15	5	Lymphocytes	Post_P1	Post_P1	C6_P5_M15	CD8_G	P1	R
C6_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C6_P6_M15	CD8_G	P1	R
C7_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C7_P1_M15	CD8_G	P1	R
C8_P1_M15	6	Exhausted_CD8T	Post_P1	Post_P1	C8_P1_M15	CD8_B	P1	R
C8_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	C8_P6_M15	CD8_G	P1	R
C9_P1_M15	5	Lymphocytes	Post_P1	Post_P1	C9_P1_M15	CD8_G	P1	R
D10_P1_M15	5	Lymphocytes	Post_P1	Post_P1	D10_P1_M15	CD8_G	P1	R
D10_P2_M15	5	Lymphocytes	Post_P1	Post_P1	D10_P2_M15	CD8_G	P1	R
D10_P4_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D10_P4_M15	CD8_G	P1	R
D11_P3_M15	8	Cytotoxicity	Post_P1	Post_P1	D11_P3_M15	CD8_G	P1	R
D11_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D11_P5_M15	CD8_G	P1	R
D12_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D12_P1_M15	CD8_B	P1	R
D12_P2_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	D12_P2_M15	CD8_B	P1	R
D12_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D12_P5_M15	CD8_G	P1	R
D1_P1_M15	5	Lymphocytes	Post_P1	Post_P1	D1_P1_M15	CD8_G	P1	R
D1_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D1_P6_M15	CD8_G	P1	R
D2_P3_M15	6	Exhausted_CD8T	Post_P1	Post_P1	D2_P3_M15	CD8_B	P1	R
D3_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D3_P2_M15	CD8_B	P1	R
D3_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D3_P6_M15	CD8_B	P1	R
D4_P6_M15	6	Exhausted_CD8T	Post_P1	Post_P1	D4_P6_M15	CD8_B	P1	R
D5_P1_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	D5_P1_M15	CD8_B	P1	R
D5_P2_M15	5	Lymphocytes	Post_P1	Post_P1	D5_P2_M15	CD8_G	P1	R
D5_P3_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D5_P3_M15	CD8_G	P1	R
D6_P6_M15	8	Cytotoxicity	Post_P1	Post_P1	D6_P6_M15	CD8_G	P1	R
D7_P1_M15	5	Lymphocytes	Post_P1	Post_P1	D7_P1_M15	CD8_G	P1	R
D7_P2_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	D7_P2_M15	CD8_B	P1	R
D7_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D7_P5_M15	CD8_B	P1	R
D8_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D8_P5_M15	CD8_G	P1	R
D9_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	D9_P2_M15	CD8_G	P1	R
E10_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E10_P1_M15	CD8_B	P1	R
E10_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E10_P2_M15	CD8_B	P1	R
E10_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E10_P6_M15	CD8_G	P1	R
E11_P1_M15	5	Lymphocytes	Post_P1	Post_P1	E11_P1_M15	CD8_G	P1	R
E11_P2_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	E11_P2_M15	CD8_B	P1	R
E11_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E11_P5_M15	CD8_G	P1	R
E11_P6_M15	8	Cytotoxicity	Post_P1	Post_P1	E11_P6_M15	CD8_G	P1	R
E12_P6_M14	5	Lymphocytes	Post_P1	Post_P1	E12_P6_M14	CD8_G	P1	R
E1_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E1_P2_M15	CD8_G	P1	R
E1_P4_m15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E1_P4_m15	CD8_G	P1	R
E1_P5_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	E1_P5_M15	CD8_B	P1	R
E2_P2_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E2_P2_M15	CD8_G	P1	R
E3_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E3_P1_M15	CD8_G	P1	R
E3_P6_M15	6	Exhausted_CD8T	Post_P1	Post_P1	E3_P6_M15	CD8_B	P1	R
E4_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E4_P1_M15	CD8_B	P1	R
E4_P2_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	E4_P2_M15	CD8_B	P1	R
E5_P6_M15	10	memory_T	Post_P1	Post_P1	E5_P6_M15	CD8_G	P1	R
E7_P1_M15	5	Lymphocytes	Post_P1	Post_P1	E7_P1_M15	CD8_G	P1	R
E8_P2_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	E8_P2_M15	CD8_B	P1	R
E9_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	E9_P1_M15	CD8_B	P1	R
F10_P1_M15	5	Lymphocytes	Post_P1	Post_P1	F10_P1_M15	CD8_G	P1	R
F10_P2_M15	5	Lymphocytes	Post_P1	Post_P1	F10_P2_M15	CD8_G	P1	R
F11_P2_M15	6	Exhausted_CD8T	Post_P1	Post_P1	F11_P2_M15	CD8_B	P1	R
F11_P5_M15	8	Cytotoxicity	Post_P1	Post_P1	F11_P5_M15	CD8_G	P1	R
F12_P1_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	F12_P1_M15	CD8_B	P1	R
F12_P6_M14	9	Exhausted_HS_CD8T	Post_P1	Post_P1	F12_P6_M14	CD8_B	P1	R
F2_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	F2_P1_M15	CD8_B	P1	R
F2_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	F2_P6_M15	CD8_G	P1	R
F3_P1_M15	5	Lymphocytes	Post_P1	Post_P1	F3_P1_M15	CD8_G	P1	R
F5_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	F5_P1_M15	CD8_G	P1	R
F5_P5_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	F5_P5_M15	CD8_B	P1	R
F6_P2_M15	8	Cytotoxicity	Post_P1	Post_P1	F6_P2_M15	CD8_G	P1	R
F6_P3_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	F6_P3_M15	CD8_B	P1	R
F6_P5_M15	5	Lymphocytes	Post_P1	Post_P1	F6_P5_M15	CD8_G	P1	R
F7_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	F7_P1_M15	CD8_G	P1	R
F8_P5_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	F8_P5_M15	CD8_B	P1	R
G10_P1_M15	5	Lymphocytes	Post_P1	Post_P1	G10_P1_M15	CD8_G	P1	R
G12_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	G12_P1_M15	CD8_G	P1	R
G12_P2_M15	5	Lymphocytes	Post_P1	Post_P1	G12_P2_M15	CD8_G	P1	R
G1_P1_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	G1_P1_M15	CD8_B	P1	R
G1_P4_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	G1_P4_M15	CD8_G	P1	R
G1_P5_M15	10	memory_T	Post_P1	Post_P1	G1_P5_M15	CD8_G	P1	R
G3_P5_M15	5	Lymphocytes	Post_P1	Post_P1	G3_P5_M15	CD8_G	P1	R
G4_P1_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	G4_P1_M15	CD8_B	P1	R
G4_P2_M15	5	Lymphocytes	Post_P1	Post_P1	G4_P2_M15	CD8_G	P1	R
G5_P1_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	G5_P1_M15	CD8_B	P1	R
G5_P6_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	G5_P6_M15	CD8_G	P1	R
G6_P2_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	G6_P2_M15	CD8_B	P1	R
G6_P5_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	G6_P5_M15	CD8_B	P1	R
G6_P6_M15	5	Lymphocytes	Post_P1	Post_P1	G6_P6_M15	CD8_G	P1	R
G8_P2_M15	5	Lymphocytes	Post_P1	Post_P1	G8_P2_M15	CD8_G	P1	R
G8_P5_M15	9	Exhausted_HS_CD8T	Post_P1	Post_P1	G8_P5_M15	CD8_G	P1	R
G8_P6_M15	11	Lymphocytes_cell_cycle	Post_P1	Post_P1	G8_P6_M15	CD8_B	P1	R
